projname,teamname,environment,region,date_of_build,duration,status,log_on,log_off
proj1,team6,stg,AMER,17/06/2024,3916,Failure,01/07/2024 13:30:19,01/07/2024 14:05:09
proj7,team14,prod,AMER,30/03/2024,164,Success,02/07/2024 13:02:08,02/07/2024 13:48:48
proj076,team3,prod,EMEA,28/01/2024,530,Success,03/07/2024 13:40:43,03/07/2024 13:49:20
proj031,team2,dev,EMEA,22/02/2024,2856,Success,04/07/2024 13:27:54,04/07/2024 14:10:22
proj46,team11,prod,AMER,05/01/2024,1979,Success,05/07/2024 13:43:35,05/07/2024 13:48:24
proj1,team14,stg,APAC,19/06/2024,2187,Failure,06/07/2024 14:10:08,06/07/2024 14:19:35
proj6,team6,stg,AMER,04/07/2024,3981,Success,07/07/2024 12:53:29,07/07/2024 13:49:28
proj6,team14,stg,AMER,02/07/2024,560,Success,08/07/2024 13:35:31,08/07/2024 13:41:19
proj15,team14,stg,EMEA,23/05/2024,2416,Failure,09/07/2024 13:24:22,09/07/2024 14:12:16
proj02,team7,stg,EMEA,26/04/2024,3740,Failure,10/07/2024 13:21:39,10/07/2024 14:19:37
proj25,team17,stg,APAC,05/04/2024,3062,Failure,11/07/2024 13:34:18,11/07/2024 14:17:13
proj61,team4,stg,APAC,11/01/2024,2251,Success,12/07/2024 13:02:53,12/07/2024 13:35:22
proj55,team20,prod,EMEA,16/06/2024,3193,Failure,13/07/2024 13:21:59,13/07/2024 14:03:55
proj17,team5,dev,AMER,23/03/2024,3436,Failure,14/07/2024 13:33:30,14/07/2024 14:28:35
proj47,team15,dev,APAC,08/03/2024,3388,Failure,15/07/2024 14:02:17,15/07/2024 14:31:15
proj9,team20,prod,APAC,10/06/2024,3141,Success,16/07/2024 12:49:22,16/07/2024 13:41:34
proj348,team16,stg,APAC,18/01/2024,850,Success,17/07/2024 13:11:28,17/07/2024 13:34:17
proj0,team8,stg,APAC,09/06/2024,674,Success,18/07/2024 13:34:04,18/07/2024 14:03:53
proj038,team14,prod,APAC,02/07/2024,1638,Failure,19/07/2024 14:08:59,19/07/2024 14:32:06
proj357,team14,dev,EMEA,06/01/2024,2098,Success,20/07/2024 14:19:18,20/07/2024 14:29:20
proj806,team3,dev,AMER,05/04/2024,1814,Failure,27/06/2024 13:19:45,27/06/2024 14:16:09
proj00,team2,dev,APAC,16/06/2024,3860,Failure,28/06/2024 13:22:12,28/06/2024 14:16:09
proj959,team19,dev,AMER,27/03/2024,3582,Success,29/06/2024 13:44:38,29/06/2024 13:58:14
proj7,team15,stg,AMER,02/01/2024,80,Success,30/06/2024 12:56:33,30/06/2024 13:54:01
proj44,team14,dev,AMER,15/03/2024,3460,Failure,01/07/2024 13:48:28,01/07/2024 13:58:43
proj9,team5,stg,APAC,08/05/2024,3195,Failure,02/07/2024 13:25:47,02/07/2024 14:09:22
proj95,team7,dev,EMEA,26/03/2024,327,Success,03/07/2024 13:11:59,03/07/2024 14:04:03
proj5,team19,dev,EMEA,03/07/2024,2961,Failure,04/07/2024 13:54:31,04/07/2024 14:22:59
proj68,team12,prod,AMER,24/01/2024,3784,Failure,05/07/2024 13:45:01,05/07/2024 14:13:35
proj20,team4,stg,EMEA,20/05/2024,3283,Failure,06/07/2024 14:11:43,06/07/2024 14:28:31
proj48,team17,prod,APAC,29/04/2024,395,Success,07/07/2024 13:13:05,07/07/2024 13:42:06
proj270,team3,stg,EMEA,01/07/2024,1196,Failure,08/07/2024 14:14:58,08/07/2024 14:14:36
proj74,team18,prod,EMEA,29/04/2024,2603,Failure,09/07/2024 13:20:24,09/07/2024 13:36:39
proj5,team8,dev,EMEA,26/03/2024,581,Success,10/07/2024 13:50:10,10/07/2024 14:18:35
proj591,team7,dev,APAC,14/05/2024,456,Success,11/07/2024 14:09:43,11/07/2024 14:17:45
proj1,team13,dev,AMER,05/07/2024,1854,Success,12/07/2024 14:10:34,12/07/2024 14:22:39
proj70,team4,prod,AMER,03/01/2024,1860,Success,13/07/2024 14:19:56,13/07/2024 14:27:36
proj9,team12,dev,EMEA,04/01/2024,2965,Failure,14/07/2024 13:19:57,14/07/2024 14:17:42
proj5,team5,dev,EMEA,27/03/2024,3223,Failure,15/07/2024 13:51:57,15/07/2024 14:14:21
proj3,team8,stg,AMER,11/05/2024,488,Failure,16/07/2024 13:44:33,16/07/2024 14:24:45
proj77,team14,prod,EMEA,30/05/2024,3857,Failure,17/07/2024 14:04:04,17/07/2024 14:06:06
proj4,team1,prod,APAC,02/01/2024,3510,Success,18/07/2024 13:08:30,18/07/2024 14:08:49
proj3,team14,prod,AMER,23/05/2024,2834,Success,19/07/2024 13:27:24,19/07/2024 14:21:59
proj634,team4,stg,AMER,22/02/2024,3093,Success,20/07/2024 13:27:13,20/07/2024 14:04:22
proj17,team20,prod,APAC,09/06/2024,1448,Failure,27/06/2024 13:41:19,27/06/2024 14:32:40
proj6,team9,dev,EMEA,02/01/2024,2665,Failure,28/06/2024 13:54:39,28/06/2024 14:04:17
proj016,team17,dev,AMER,07/01/2024,502,Success,29/06/2024 13:42:08,29/06/2024 14:01:06
proj1,team1,stg,APAC,21/05/2024,3273,Failure,30/06/2024 13:39:05,30/06/2024 14:12:18
proj3,team6,prod,EMEA,10/04/2024,2335,Failure,01/07/2024 12:53:54,01/07/2024 13:34:45
proj68,team15,dev,EMEA,10/02/2024,3537,Failure,02/07/2024 12:57:45,02/07/2024 13:54:07
proj478,team3,prod,APAC,17/02/2024,1006,Failure,03/07/2024 13:02:00,03/07/2024 13:50:26
proj3,team9,dev,EMEA,09/03/2024,2596,Failure,04/07/2024 13:10:05,04/07/2024 14:02:56
proj91,team7,prod,EMEA,16/04/2024,3105,Failure,05/07/2024 14:20:06,05/07/2024 14:26:57
proj463,team1,stg,EMEA,15/03/2024,226,Failure,06/07/2024 13:30:44,06/07/2024 14:16:46
proj2,team18,prod,APAC,26/04/2024,2488,Success,07/07/2024 13:21:26,07/07/2024 13:54:41
proj4,team1,prod,EMEA,11/06/2024,1044,Failure,08/07/2024 14:12:51,08/07/2024 14:29:47
proj9,team4,stg,AMER,25/04/2024,2700,Success,09/07/2024 14:15:16,09/07/2024 14:24:04
proj21,team9,dev,AMER,01/01/2024,2720,Success,10/07/2024 13:35:04,10/07/2024 14:25:33
proj25,team6,stg,AMER,27/05/2024,292,Failure,11/07/2024 13:49:02,11/07/2024 14:25:32
proj56,team10,stg,AMER,20/04/2024,1761,Success,12/07/2024 14:05:50,12/07/2024 14:09:29
proj61,team14,dev,AMER,11/02/2024,2287,Success,13/07/2024 13:24:15,13/07/2024 13:45:50
proj997,team11,prod,EMEA,23/01/2024,2396,Failure,14/07/2024 13:26:19,14/07/2024 14:19:35
proj2,team10,dev,APAC,23/06/2024,255,Success,15/07/2024 13:23:10,15/07/2024 14:10:47
proj961,team12,dev,EMEA,21/06/2024,359,Success,16/07/2024 14:04:25,16/07/2024 14:21:14
proj6,team16,prod,APAC,19/04/2024,608,Failure,17/07/2024 14:16:36,17/07/2024 14:19:43
proj87,team12,stg,EMEA,08/01/2024,1681,Failure,18/07/2024 12:49:55,18/07/2024 13:43:59
proj72,team19,prod,APAC,05/01/2024,3065,Failure,19/07/2024 14:09:39,19/07/2024 14:09:17
proj559,team10,prod,AMER,15/02/2024,1203,Failure,20/07/2024 13:42:09,20/07/2024 14:14:22
proj71,team1,stg,APAC,14/02/2024,82,Success,27/06/2024 13:09:28,27/06/2024 13:58:08
proj569,team16,stg,EMEA,08/02/2024,1247,Success,28/06/2024 14:09:41,28/06/2024 14:22:05
proj482,team10,stg,APAC,12/01/2024,714,Success,29/06/2024 13:42:34,29/06/2024 14:04:20
proj080,team5,prod,APAC,09/01/2024,3077,Success,30/06/2024 12:52:36,30/06/2024 13:40:41
proj613,team18,stg,AMER,22/06/2024,3946,Failure,01/07/2024 13:38:59,01/07/2024 14:15:02
proj389,team12,prod,EMEA,25/04/2024,3009,Failure,02/07/2024 12:42:47,02/07/2024 13:36:52
proj68,team17,stg,AMER,14/05/2024,2848,Success,03/07/2024 13:14:44,03/07/2024 14:11:34
proj7,team8,stg,APAC,26/01/2024,600,Failure,04/07/2024 13:32:28,04/07/2024 14:12:58
proj916,team9,stg,AMER,28/05/2024,1803,Failure,05/07/2024 13:26:01,05/07/2024 13:40:42
proj31,team19,dev,EMEA,21/02/2024,2191,Failure,06/07/2024 13:13:19,06/07/2024 13:48:35
proj66,team14,dev,APAC,22/05/2024,2424,Success,07/07/2024 13:21:41,07/07/2024 13:53:40
proj34,team14,stg,APAC,17/06/2024,2643,Success,08/07/2024 13:28:59,08/07/2024 13:52:14
proj655,team3,prod,AMER,11/04/2024,2297,Failure,09/07/2024 14:08:14,09/07/2024 14:19:54
proj535,team15,dev,EMEA,28/01/2024,2781,Success,10/07/2024 14:11:07,10/07/2024 14:27:52
proj07,team5,stg,EMEA,09/06/2024,2935,Failure,11/07/2024 13:07:06,11/07/2024 14:02:39
proj24,team1,prod,APAC,13/04/2024,1011,Success,12/07/2024 13:41:02,12/07/2024 14:11:39
proj0,team1,prod,EMEA,28/04/2024,905,Failure,13/07/2024 13:35:55,13/07/2024 13:44:14
proj60,team5,dev,AMER,09/06/2024,226,Failure,14/07/2024 13:29:02,14/07/2024 14:17:47
proj4,team9,prod,EMEA,10/03/2024,3582,Failure,15/07/2024 13:27:03,15/07/2024 14:08:23
proj77,team20,dev,APAC,25/02/2024,1682,Failure,16/07/2024 14:18:31,16/07/2024 14:30:41
proj6,team4,dev,AMER,11/02/2024,2811,Failure,17/07/2024 13:16:00,17/07/2024 13:35:43
proj4,team5,dev,EMEA,26/02/2024,1691,Failure,18/07/2024 12:40:25,18/07/2024 13:37:19
proj43,team19,dev,APAC,29/06/2024,324,Success,19/07/2024 13:40:43,19/07/2024 14:12:39
proj2,team13,stg,APAC,03/05/2024,386,Failure,20/07/2024 13:29:43,20/07/2024 14:12:10
proj9,team7,stg,EMEA,15/02/2024,3925,Failure,27/06/2024 13:15:47,27/06/2024 14:10:53
proj35,team5,prod,AMER,23/01/2024,1998,Failure,28/06/2024 14:21:42,28/06/2024 14:24:07
proj25,team2,stg,APAC,04/04/2024,2576,Failure,29/06/2024 13:45:00,29/06/2024 13:50:59
proj70,team16,dev,EMEA,07/03/2024,2320,Success,30/06/2024 12:43:39,30/06/2024 13:42:26
proj250,team6,dev,EMEA,22/02/2024,2574,Success,01/07/2024 13:41:03,01/07/2024 14:01:53
proj98,team15,prod,AMER,24/06/2024,28,Success,02/07/2024 14:19:02,02/07/2024 14:20:18
proj61,team3,dev,AMER,11/02/2024,3144,Success,03/07/2024 13:03:11,03/07/2024 13:35:28
proj4,team3,dev,EMEA,19/03/2024,697,Success,04/07/2024 13:51:42,04/07/2024 13:52:11
proj663,team20,dev,EMEA,01/05/2024,1491,Success,05/07/2024 13:11:25,05/07/2024 14:03:22
proj916,team8,stg,APAC,26/04/2024,1825,Failure,06/07/2024 12:52:01,06/07/2024 13:47:26
proj1,team20,stg,AMER,23/03/2024,982,Failure,07/07/2024 13:33:28,07/07/2024 14:00:04
proj3,team12,prod,AMER,11/05/2024,3249,Failure,08/07/2024 13:50:02,08/07/2024 14:11:08
proj9,team6,dev,AMER,26/02/2024,1429,Failure,09/07/2024 12:53:49,09/07/2024 13:45:17
proj7,team3,stg,APAC,24/01/2024,3777,Success,10/07/2024 13:38:48,10/07/2024 14:26:59
proj90,team12,dev,AMER,25/06/2024,2706,Success,11/07/2024 13:20:35,11/07/2024 13:51:00
proj15,team14,dev,EMEA,09/03/2024,2768,Failure,12/07/2024 13:33:50,12/07/2024 14:18:37
proj44,team19,stg,EMEA,28/04/2024,904,Success,13/07/2024 13:01:20,13/07/2024 13:34:01
proj241,team12,prod,AMER,23/05/2024,1059,Failure,14/07/2024 12:52:49,14/07/2024 13:38:29
proj179,team8,dev,APAC,14/05/2024,2552,Success,15/07/2024 13:57:52,15/07/2024 14:04:24
proj09,team2,prod,APAC,16/05/2024,1062,Success,16/07/2024 13:29:56,16/07/2024 14:06:37
proj4,team18,dev,EMEA,16/04/2024,591,Failure,17/07/2024 13:36:28,17/07/2024 14:28:54
proj14,team14,stg,AMER,06/06/2024,842,Failure,18/07/2024 13:57:58,18/07/2024 14:33:51
proj4,team19,dev,APAC,26/05/2024,1317,Failure,19/07/2024 12:57:56,19/07/2024 13:55:38
proj47,team14,prod,AMER,13/03/2024,14,Success,20/07/2024 13:44:33,20/07/2024 14:33:33
proj8,team2,stg,EMEA,02/04/2024,368,Success,02/07/2024 13:11:42,02/07/2024 13:48:04
proj87,team5,prod,EMEA,25/04/2024,2369,Success,03/07/2024 14:15:10,03/07/2024 14:25:53
proj482,team4,stg,AMER,08/02/2024,1213,Failure,04/07/2024 14:17:05,04/07/2024 14:21:25
proj613,team5,stg,EMEA,08/06/2024,218,Failure,05/07/2024 13:54:02,05/07/2024 14:13:36
proj7,team1,dev,AMER,02/04/2024,3558,Failure,06/07/2024 13:57:22,06/07/2024 14:31:00
proj713,team1,prod,EMEA,05/05/2024,3726,Success,07/07/2024 12:37:22,07/07/2024 13:35:27
proj8,team17,stg,EMEA,07/03/2024,2875,Success,08/07/2024 13:07:28,08/07/2024 13:51:53
proj2,team3,stg,EMEA,28/03/2024,463,Failure,09/07/2024 13:19:03,09/07/2024 13:54:54
proj74,team18,stg,EMEA,17/03/2024,950,Success,10/07/2024 13:26:21,10/07/2024 13:52:44
proj334,team6,prod,AMER,19/02/2024,3644,Success,11/07/2024 13:10:05,11/07/2024 13:42:21
proj9,team6,prod,APAC,11/03/2024,2583,Success,12/07/2024 13:27:02,12/07/2024 13:42:11
proj8,team8,dev,EMEA,22/04/2024,3500,Success,13/07/2024 12:47:44,13/07/2024 13:41:24
proj7,team18,dev,APAC,09/03/2024,686,Success,14/07/2024 13:20:26,14/07/2024 14:06:51
proj765,team16,stg,AMER,30/05/2024,2598,Success,15/07/2024 13:35:30,15/07/2024 14:19:20
proj135,team1,stg,APAC,04/01/2024,3648,Failure,16/07/2024 13:15:54,16/07/2024 13:55:45
proj53,team8,dev,APAC,20/04/2024,1055,Failure,17/07/2024 14:01:27,17/07/2024 14:22:43
proj72,team3,dev,APAC,16/03/2024,2763,Failure,18/07/2024 13:51:59,18/07/2024 13:57:59
proj5,team11,stg,AMER,04/02/2024,3740,Success,19/07/2024 13:48:30,19/07/2024 13:58:56
proj192,team4,dev,APAC,12/01/2024,2538,Failure,20/07/2024 13:25:13,20/07/2024 13:58:10
proj250,team16,prod,EMEA,17/03/2024,1735,Success,27/06/2024 13:42:28,27/06/2024 14:04:12
proj07,team6,stg,EMEA,10/01/2024,2093,Success,28/06/2024 14:27:07,28/06/2024 14:33:34
proj6,team12,stg,APAC,24/05/2024,1145,Failure,29/06/2024 13:29:14,29/06/2024 13:43:57
proj38,team9,stg,APAC,30/05/2024,3909,Failure,30/06/2024 13:33:28,30/06/2024 14:26:20
proj86,team15,stg,APAC,04/06/2024,1387,Failure,01/07/2024 13:31:59,01/07/2024 14:13:03
proj077,team5,prod,EMEA,30/05/2024,3947,Success,02/07/2024 12:57:24,02/07/2024 13:56:31
proj34,team11,dev,APAC,22/06/2024,1484,Success,03/07/2024 13:23:15,03/07/2024 13:36:15
proj5,team1,prod,APAC,27/01/2024,967,Success,04/07/2024 13:42:40,04/07/2024 14:12:52
proj334,team8,dev,EMEA,18/05/2024,1641,Failure,05/07/2024 13:28:32,05/07/2024 13:36:28
proj5,team16,stg,APAC,03/01/2024,1866,Failure,06/07/2024 14:11:07,06/07/2024 14:15:38
proj9,team7,stg,AMER,10/05/2024,3079,Failure,07/07/2024 13:43:59,07/07/2024 13:49:10
proj4,team19,prod,APAC,12/01/2024,955,Success,08/07/2024 13:18:20,08/07/2024 14:02:34
proj175,team6,prod,EMEA,29/04/2024,3883,Success,09/07/2024 13:03:40,09/07/2024 13:50:33
proj932,team9,dev,APAC,19/01/2024,1566,Failure,10/07/2024 13:55:32,10/07/2024 14:00:23
proj19,team10,dev,APAC,11/03/2024,1668,Success,11/07/2024 13:57:25,11/07/2024 14:02:05
proj187,team7,prod,EMEA,02/02/2024,3131,Failure,12/07/2024 13:40:49,12/07/2024 13:54:30
proj1,team16,dev,AMER,11/01/2024,1398,Failure,13/07/2024 12:50:25,13/07/2024 13:44:43
proj7,team3,stg,AMER,12/05/2024,245,Failure,14/07/2024 13:06:23,14/07/2024 13:38:41
proj00,team3,dev,EMEA,27/06/2024,353,Success,15/07/2024 13:47:10,15/07/2024 14:22:48
proj0,team2,dev,APAC,21/02/2024,2685,Failure,16/07/2024 12:50:44,16/07/2024 13:37:50
proj3,team13,stg,AMER,21/06/2024,785,Success,17/07/2024 13:09:11,17/07/2024 13:55:55
proj3,team3,prod,APAC,19/04/2024,3662,Failure,18/07/2024 14:15:32,18/07/2024 14:28:23
proj67,team10,prod,AMER,19/06/2024,420,Success,19/07/2024 13:14:37,19/07/2024 13:57:15
proj030,team3,stg,AMER,21/06/2024,2719,Failure,20/07/2024 13:39:57,20/07/2024 13:54:50
proj5,team14,prod,APAC,06/06/2024,1980,Failure,27/06/2024 13:43:07,27/06/2024 14:18:55
proj856,team3,stg,APAC,03/04/2024,750,Failure,28/06/2024 13:27:02,28/06/2024 14:17:50
proj45,team9,stg,APAC,26/04/2024,2661,Failure,29/06/2024 13:13:35,29/06/2024 13:56:32
proj50,team16,dev,APAC,10/04/2024,2600,Success,30/06/2024 13:41:32,30/06/2024 13:51:53
proj71,team7,dev,EMEA,02/04/2024,2226,Failure,01/07/2024 13:54:56,01/07/2024 14:19:50
proj81,team17,stg,AMER,14/02/2024,1352,Success,02/07/2024 13:20:32,02/07/2024 13:37:42
proj11,team6,dev,AMER,27/06/2024,2823,Success,03/07/2024 13:11:52,03/07/2024 13:38:42
proj144,team8,stg,APAC,04/01/2024,802,Failure,04/07/2024 13:26:33,04/07/2024 14:04:22
proj2,team1,stg,AMER,20/06/2024,1765,Failure,05/07/2024 13:18:57,05/07/2024 13:47:29
proj6,team6,dev,EMEA,14/04/2024,1588,Success,06/07/2024 13:43:21,06/07/2024 14:10:08
proj30,team7,prod,APAC,07/05/2024,2482,Success,07/07/2024 12:57:06,07/07/2024 13:41:18
proj71,team8,stg,AMER,02/04/2024,3228,Failure,08/07/2024 13:20:54,08/07/2024 13:38:52
proj4,team12,prod,AMER,26/06/2024,3072,Success,09/07/2024 14:04:40,09/07/2024 14:11:54
proj0,team11,stg,AMER,06/06/2024,851,Failure,10/07/2024 13:50:09,10/07/2024 14:06:54
proj0,team4,prod,EMEA,03/07/2024,1274,Failure,11/07/2024 13:10:38,11/07/2024 13:53:43
proj3,team16,prod,AMER,18/01/2024,2143,Failure,12/07/2024 13:25:28,12/07/2024 13:46:50
proj083,team17,stg,EMEA,24/05/2024,430,Failure,13/07/2024 12:49:21,13/07/2024 13:41:20
proj5,team3,stg,EMEA,18/03/2024,3,Failure,14/07/2024 13:31:25,14/07/2024 13:59:55
proj014,team15,prod,AMER,29/05/2024,1381,Success,15/07/2024 12:45:27,15/07/2024 13:37:39
proj9,team19,prod,APAC,07/06/2024,2216,Success,16/07/2024 13:18:23,16/07/2024 13:52:54
proj747,team11,prod,AMER,09/05/2024,1392,Failure,17/07/2024 13:43:31,17/07/2024 13:56:37
proj4,team15,stg,APAC,06/01/2024,1851,Failure,18/07/2024 12:48:05,18/07/2024 13:44:06
proj090,team12,stg,AMER,23/01/2024,3349,Failure,19/07/2024 14:23:45,19/07/2024 14:23:15
proj341,team14,dev,EMEA,23/01/2024,2949,Failure,20/07/2024 14:11:17,20/07/2024 14:30:39
proj5,team5,prod,EMEA,19/01/2024,962,Failure,27/06/2024 13:10:13,27/06/2024 14:08:29
